

[2017-06-21 19:55:45] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-21 20:01:38] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-21 20:34:43] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-06-21 20:38:36] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-06-21 20:49:47] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-06-21 23:12:23] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-22 15:56:54] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-22 18:40:59] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-06-22 20:34:19] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-06-22 20:38:55] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-06-22 20:38:55] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-22 21:10:49] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-06-22 21:31:24] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-23 16:42:18] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-23 17:35:59] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-23 23:23:19] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 01:57:28] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 02:03:25] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-06-29 02:03:46] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 02:25:29] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 02:32:26] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 02:36:21] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 02:51:23] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 02:56:06] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 03:09:25] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 03:33:21] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 03:38:01] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 03:55:32] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 04:01:16] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 04:06:03] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 04:11:24] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-29 04:15:54] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-01 19:49:14] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-01 22:51:25] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-02 00:11:54] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-07-02 00:12:18] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-02 01:21:03] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-02 10:43:10] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-02 12:46:15] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-02 13:47:25] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-02 16:47:44] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-02 21:34:25] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-04 21:48:13] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


